license,name,expiry_date,notice_date
FE1900002,The Grateful Dog Pte Ltd,30/4/2021,1/3/2021
FE1900006,ISLANDROCK LIMITED LIABILITY PARTNERSHIP,30/6/2021,1-May-21
FE1900003,Yappy Pets Pte Ltd,31/5/2021,1-Apr-21
FE2000012,US Dog Bakery Pte Ltd (Vivocity) ,31/8/2021,2-Jul-21
FE1900008,Samtom Trading,30/6/2021,1-May-21
FE1900011,Mainland Tropical Fish Farm,31/7/2021,1-Jun-21
FE1900015,Furries Pte Ltd,31/8/2021,2-Jul-21
FE1900009,JUICY MEATS PRIVATE LIMITED,31/7/2021,1-Jun-21
FE2000014,US Dog Bakery Pte Ltd (Nex Mall),30/9/2021,1-Aug-21
FE1900019,Goodwoofsg LLP,31/8/2021,2-Jul-21
FE1900014,BOM BOM PTE. LTD.,31/8/2021,2-Jul-21
FE1900018,UNDERDOG CO PTE. LTD.,31/8/2021,2-Jul-21
FE1900016,FEED MY PAWS SINGAPORE,31/8/2021,2-Jul-21
FE1900022,Bark Craft Pte Ltd,31/10/2021,1-Sep-21
FE1900021,Semper Fidelis Fine Foods Pte Ltd,30/9/2021,1-Aug-21
FE1900023,Wholesome Paws,31/10/2021,1-Sep-21
FE2000001,Yi Hu Fish Farm Trading,31/12/2020,1-Nov-20
FE1900012,Furry's Kitchen Pte Ltd,31/7/2021,1-Jun-21
FE2000003,The Barkery Singapore Pte Ltd,31/1/2021,2-Dec-20
FE2000006,Biocomm Pte Ltd,28/2/2021,30-Dec-20
FE1900001,KNIBBLES SINGAPORE,30/4/2021,1-Mar-21
FE1900004,HARVEST & SONS PTE LTD,31/5/2021,1-Apr-21
FE1900025,25 HOLDINGS PTE LTD,30/11/2020,1-Oct-20
FE2000002,MUM MUM GOURMET,31/12/2020,1-Nov-20
FE2000005,TALLAHESSE PTE LTD,28/2/2021,30-Dec-20
FE1900013,INTREPID ASIA VENTURES PRIVATE LIMITED,31/8/2021,2-Jul-21
FE2000009,RAWFOR PAWSG,31/7/2021,1-Jun-21
FE2000010,The Pawsitive Vibes LLP,31/7/2021,1-Jun-21
FE2000013,Pet Axis,31/8/2021,2-Jul-21
FE2000016,PAWFF,31/10/2021,1/9/2021
